	22.0
contemplant	4.0
contemplation	3.0
contempler	3.0
contemplrent	1.0
contemporain	1.0
contenait	9.0
contenance	1.0
contenant	1.0
contenir	1.0
content	14.0
contenta	4.0
contentait	1.0
contente	1.0
contentement	1.0
contenter	2.0
contentera	1.0
contentrent	2.0
contents	2.0
contenu	3.0
contestaient	1.0
contiennent	1.0
contient	2.0
continu	2.0
continua	7.0
continuaient	2.0
continuait	7.0
continuant	2.0
continue	4.0
continuellement	1.0
continuer	3.0
continuerez	1.0
continuons	1.0
continurent	1.0
contournant	2.0
contourner	1.0
contracta	1.0
contracter	1.0
contraire	4.0
contrarier	2.0
contrarit	1.0
contre	60.0
contreamiral	1.0
contresorts	1.0
contrle	1.0
convaincante	1.0
convaincre	5.0
convaincu	5.0
convaincue	1.0
convaincus	1.0
convenait	3.0
convention	1.0
convenu	1.0
conversation	8.0
conversations	5.0
convient	3.0
convoit	1.0
convulsrent	1.0
copains	1.0
copiant	1.0
copier	3.0
copieux	1.0
copine	1.0
coquillage	1.0
coquille	2.0
corbeille	2.0
corbeilles	1.0
corde	1.0
cordes	4.0
cordialement	2.0
cordon	1.0
corn	1.0
corne	1.0
cornedbeef	1.0
cornelius	1.0
cornes	3.0
cornichon	1.0
cornichons	1.0
corps	17.0
correction	1.0
correspond	1.0
corrigea	1.0
corriger	1.0
cossaise	1.0
cosser	1.0
cotait	1.0
cote	1.0
coter	3.0
cotera	2.0
cou	17.0
couch	4.0
coucha	1.0
couchage	1.0
couchant	2.0
couche	2.0
coucher	14.0
couchs	1.0
coude	5.0
couina	4.0
coul	1.0
coulait	2.0
couler	1.0
couleur	12.0
couleurs	4.0
coulissants	1.0
couloir	38.0
couloirs	17.0
coup	76.0
coupa	3.0
